Site ID,Stream Temperature 2040s,Stream Temperature 2080s,Stream Temperature Historical,Streamflow Historical,Streamflow 2040s,Streamflow 2080s
STREG,19.655,20.749,12.07353846,283.4305714,208.6840857,218.0514714
TOBAC,17.945,18.989,10.776,227.042,178.035,181.4469286
STILL,19.121,20.21,11.63276923,208.7007143,193.0268429,194.7875143
BITWF,18.797,19.88,11.36476923,92.397,81.27628571,76.60941429
BITDA,18.934,20.018,11.47730769,241.4914286,182.1151571,167.7135857
CLABE,19.655,20.749,12.07353846,1939.803429,1511.433143,1673.408971
BITCO,18.934,20.018,11.47730769,76.75257143,52.87334286,50.47948571
SWANR,19.392,20.484,11.85661538,408.6542857,388.6679429,402.0421429
BLACK,19.655,20.749,12.07353846,758.7662857,656.2780714,735.9566
ROCKC,19.786,20.882,12.18153846,114.5031429,75.91702857,66.79264286
FLATW,19.392,20.484,11.85661538,335.5532857,167.8379714,113.7585571
CLERI,19.655,20.749,12.07353846,184.8454286,160.9131,209.2287571
CLADR,19.786,20.882,12.18153846,260.3604286,192.9697571,198.6994286
FLINT,19.786,20.882,12.18153846,22.34314286,14.4924,14.13582857
BLADR,19.655,20.749,12.07353846,107.9815714,98.94501429,119.0686
NEVAD,19.655,20.749,12.07353846,95.71571429,87.87967143,105.5449286
BLAGA,18.678,19.76,11.26623077,26.92628571,16.62888571,21.14277143
SILSP,18.824,19.907,11.38630769,5.121714286,4.115028571,4.832085714
CLAGA,18.86,19.943,11.41630769,106.2702857,77.58318571,81.98615714
CLALO,18.884,19.968,11.43623077,151.32,110.7104571,114.3381286
